Date,Close
9/30/2015,88.75
10/1/2015,88.86
10/2/2015,89.5
10/5/2015,91.31
10/6/2015,90.81
10/7/2015,90.96
10/8/2015,92.29
10/9/2015,92.7
10/12/2015,93.21
10/13/2015,91.36
10/14/2015,90.41
10/15/2015,92.43
10/16/2015,93.62
10/19/2015,94.08
10/20/2015,94.3
10/21/2015,93.87
10/22/2015,96.86
10/23/2015,97.94
10/26/2015,97.71
10/27/2015,98.03
10/28/2015,97.99
10/29/2015,97.75
10/30/2015,97.43
11/2/2015,97.51
11/3/2015,97.71
11/4/2015,98.85
11/5/2015,97.78
11/6/2015,98.28
11/9/2015,97.51
11/10/2015,98.88
11/11/2015,99.39
11/12/2015,98.05
11/13/2015,96.53
11/16/2015,96.9
11/17/2015,96.43
11/18/2015,96.62
11/19/2015,97.42
11/20/2015,103.2
11/23/2015,101.03
11/24/2015,99.76
11/25/2015,99.85
11/27/2015,100.18
11/30/2015,100.2
12/1/2015,101.79
12/2/2015,99.5
12/3/2015,96.38
12/4/2015,98.63
12/7/2015,98.83
12/8/2015,98.32
12/9/2015,97.72
12/10/2015,96.99
12/11/2015,96.12
12/14/2015,96.3
12/15/2015,97.98
12/16/2015,99.05
12/17/2015,97.87
12/18/2015,95.57
12/21/2015,95.68
12/22/2015,97.21
12/23/2015,98
12/24/2015,97.59
12/28/2015,98.22
12/29/2015,99.34
12/30/2015,98.28
12/31/2015,96.5
1/4/2016,94.38
1/5/2016,95.95
1/6/2016,96.29
1/7/2016,94.44
1/8/2016,93.14
1/11/2016,94
1/12/2016,94.85
1/13/2016,91.7
1/14/2016,94.32
1/15/2016,91.49
1/19/2016,90.88
1/20/2016,91.99
1/21/2016,91.95
1/22/2016,93.61
1/25/2016,91.73
1/26/2016,92.64
1/27/2016,90.77
1/28/2016,92.03
1/29/2016,95.51
2/1/2016,96.37
2/2/2016,94.15
2/3/2016,95.89
2/4/2016,96.75
2/5/2016,91.79
2/8/2016,90.92
2/9/2016,90.13
2/10/2016,90.26
2/11/2016,91.41
2/12/2016,94.56
2/16/2016,95.36
2/17/2016,98.36
2/18/2016,96.47
2/19/2016,97.19
2/22/2016,98.25
2/23/2016,97.36
2/24/2016,98.83
2/25/2016,100.07
2/26/2016,95.75
2/29/2016,96.64
3/1/2016,98.86
3/2/2016,98.63
3/3/2016,97.71
3/4/2016,99.18
3/7/2016,99.38
3/8/2016,99.27
3/9/2016,99.47
3/10/2016,98.02
3/11/2016,99.96
3/14/2016,99.43
3/15/2016,99.33
3/16/2016,100.29
3/17/2016,100.83
3/18/2016,102.01
3/21/2016,102.01
3/22/2016,102.15
3/23/2016,101.7
3/24/2016,101.89
3/28/2016,102.05
3/29/2016,102.57
3/30/2016,103.18
3/31/2016,104.01
4/1/2016,104.69
4/4/2016,104.96
4/5/2016,103.9
4/6/2016,105.13
4/7/2016,103.17
4/8/2016,103.38
4/11/2016,102.62
4/12/2016,102.71
4/13/2016,103.31
4/14/2016,102.93
4/15/2016,102.83
4/18/2016,103.79
4/19/2016,103.92
4/20/2016,103.74
4/21/2016,102.3
4/22/2016,102.33
4/25/2016,102.36
4/26/2016,103.92
4/27/2016,103.51
4/28/2016,101.37
4/29/2016,100.89
5/2/2016,102.21
5/3/2016,101.4
5/4/2016,99.89
5/5/2016,100.4
5/6/2016,101.04
5/9/2016,101.67
5/10/2016,102.8
5/11/2016,102.32
5/12/2016,102.21
5/13/2016,102.03
5/16/2016,103.73
5/17/2016,102.15
5/18/2016,102.7
5/19/2016,101.42
5/20/2016,103.03
5/23/2016,104.62
5/24/2016,107.31
5/25/2016,105.02
5/26/2016,106.83
5/27/2016,107.89
